,text,place_lat_min,place_lon_min,place_lat_max,place_lon_max
46,RT @Fichajes_futbol: El extremo del Bayern Múnich se cuela en la agenda de Real Madrid y FC Barcelona https://t.co/xC2kf6Klxr,,,,
47,@DivaVinophile @carpediemeire @CharlesMcCool @Touchse @Giselleinmotion @BokTower @VisitCentralFL @kilkeacastle… https://t.co/zdEdjfiMiX,,,,
48,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
49,"RT @GOAL_ID: Barcelona telah mencapai kesepakatan dengan Miralem Pjanic, menurut Sport 🤝

Laporan itu mengatakan Juventus sekarang tinggal…",,,,
50,"RT @marca: 🚨 Laporta: ""Estoy trabajando para presentarme a la presidencia del Barcelona"". El ex presidente tiene claro quién sería su entre…",,,,
51,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
52,"RT @Rfernandezn: Cual sería el Top 5 histórico de los mejores clubes de fútbol mundial sin importar un orden?

Liverpool
Madrid 
ManU
Barce…",,,,
53,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
54,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
55,"RT @marca: Litmanen, tras superar el coronavirus: ""Nunca me había sentido peor"" https://t.co/e2GOxZKrxF",,,,
56,"RT @mediotiempo: ¡Está armado! ⚽️🙌

Barcelona e Inter tendrían todo listo para intercambio de lujo. 🔁

https://t.co/2ck4Z06K5O",,,,
57,@BARCELONA_J10 Vdd cria,,,,
58,"RT @mediotiempo: ¡Está armado! ⚽️🙌

Barcelona e Inter tendrían todo listo para intercambio de lujo. 🔁

https://t.co/2ck4Z06K5O",,,,
59,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
60,"@amandabertz Coloca no Youtube ""Barcelona 5x0 Real Madri"" crtz q c vai chora de tão lindo q é",,,,
61,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
62,Vai passar o meu Inter ganhando o Barcelona ❤️🤍❤️🤍,,,,
63,"Termasuk Marco Asensio, Ini 8 Pemain yang Terang-terangan Tolak Barcelona

https://t.co/bGuhkKSSNG",,,,
64,"RT @ElReyTuitero: Mandar a @CarlosLoret a intentar destruir a López Obrador con reportajes, es como mandar a los Tiburones Rojos del Veracr…",,,,
65,Vai dar a fina do mundial de 2006 na globo inter x barcelona 😍,,,,
66,FC BARCELONA Kampanyası Gerçekleşiyor! #PESCM #FCB https://t.co/yWQzOdkMfu,,,,
67,"Las ciudades españolas con más cultura. #Barcelona, #Madrid y #Valencia, ¡epicentros de la vida cultural! https://t.co/UJuVP5tekl",,,,
68,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
69,"El argentino Lionel Messi, estrella del Barcelona, hizo una donación de 500 mil euros este lunes a la Fundación Gar… https://t.co/XDs1kkfBhO",,,,
70,"@kalipolis Está en el Cementerio de Poblenou, en Barcelona.
La escultura se encuentra sobre la tumba del empresario… https://t.co/Z3ZgTlnrpt",,,,
71,"RT @Barca19stats: Happy birthday to Giovani dos Santos. The youngest player ever to score a Liga hattrick for Barcelona, and he did in his…",,,,
72,"@Heyhoyheyho @ErickAn31749437 @camilin86 @LDU_Oficial El chileno borgui se fue en una rlderrota con barcelona..
Per… https://t.co/XpxodUuCbQ",,,,
73,"RT @FCGraphics7: Pjanic to Barcelona ?🔵🔴

Pjanic al Barcelona?🔴🔵

📷 @GrizzouMVP https://t.co/6xWkWjLfeO",,,,
74,"RT @goal: Ronaldinho 🇧🇷
Xavi 🇪🇸
Puyol 🇪🇸

The stars behind Barcelona's resurgence 🙌

Not to forget Rafa Marquez 😎 https://t.co/XQYfCnBF81",,,,
