,text,place_lat_min,place_lon_min,place_lat_max,place_lon_max
197,"RT @carlesenric: Lo lamentable es que se den cuenta ahora y que tanto barcelones sea ignorante ""Frente unitario en Barcelona contra Colau p…",,,,
198,RT @vicenteguallart: Se habla de la ciudad de 15 minutos de Paris y se contrapone al de las super manzanas de Barcelona. Quizás no se ha ex…,,,,
199,RT @gamboalx: Nosotros valoraríamos más una respuesta con una propuesta de solución para el caso de 4 y 1/2 años sin servicio #Cantv en Ter…,,,,
200,RT @Samuel_Aranda_: Están son las colas hoy en las oficinas de servicios sociales en el Raval de Barcelona. Gente que ha perdido su trabajo…,,,,
201,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
202,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
203,"RT @bb_ajiya: Lmaoo i saw one Barcelona on TL wai idan an saya Pjanic ya daina kallon Barcelona. 
Like say suna da Midfielder da ya kai shi…",,,,
204,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
205,RT @JaimePalomera: Visto en las calles de Barcelona. Lo han descubierto hoy las vecinas y vecinos de @HabitatgeVKK. https://t.co/AXbHGleXcU,,,,
206,"""Barcelona"" by River Tiber is just soooooo nice!",,,,
207,RT @vicenteguallart: Se habla de la ciudad de 15 minutos de Paris y se contrapone al de las super manzanas de Barcelona. Quizás no se ha ex…,,,,
208,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
209,Documentário foda do Barcelona na Netflix,,,,
210,"RT @tf_sportedit: Iniesta | Wallpaper 
Happy Bday,Iniesta 

#iniesta #ElMagico #Barcelona https://t.co/nSHTcIloWD",,,,
211,JUAL JERSEY BARCELONA BBM: 56DE444B  #jerseybarcelona  #jerseygo #jerseybola #kaosbola #jerseyclub #jerseygradeori,,,,
212,@DivaVinophile @carpediemeire @CharlesMcCool @Touchse @Giselleinmotion @BokTower @VisitCentralFL @kilkeacastle… https://t.co/74ZpdQ0mfp,,,,
213,"RT @mediotiempo: ¡Está armado! ⚽️🙌

Barcelona e Inter tendrían todo listo para intercambio de lujo. 🔁

https://t.co/2ck4Z06K5O",,,,
214,"RT @FootballFunnnys: In 2010 when Barcelona won 0-8 against Almeria. Lionel Messi was involved in 5 goals.

After that match, Ronaldo said:…",,,,
215,"Mano, Barcelona tem um time de Hearthstone kkk",,,,
216,"RT @XaviSol_: 2010-2020

🇪🇸 Campeones de la Liga de España en los últimos 10 años:

🏆FC Barcelona : 7 títulos
🏆Real Madrid: 2 títulos 
🏆Atl…",,,,
217,"RT @tf_sportedit: Iniesta | Wallpaper 
Happy Bday,Iniesta 

#iniesta #ElMagico #Barcelona https://t.co/nSHTcIloWD",,,,
218,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
219,"RT @retro_plus: Minuto 1... y gol de Fernando Torres en el Camp Nou
Posdata: Vaya pase de Ibagaza 😱
⚽️ Barcelona 0-2 Atlético de Madrid
📆 6…",,,,
220,dx eu te levar pra barcelona e amsterdã,,,,
221,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
222,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
223,"RT @goal: Barcelona have already reached an agreement with Miralem Pjanic, according to Sport 🤝

The report says Juventus are now looking a…",,,,
224,"RT @FoxSportsBrasil: Você viu? Barcelona pode usar três campeões do mundo para contratar Neymar

👉 https://t.co/2BtcNbAMx5 https://t.co/LAv…",,,,
225,"@couriermail Don't mind him, he's from Barcelona. https://t.co/jO7pbQ67cm",,,,
226,RT @RoyNemer: Tottenham Hotspur defender Juan Foyth reportedly offered to FC Barcelona. https://t.co/UU12jnasLd,,,,
227,"O Barcelona mostrou seu tamanho, resistindo ao facismo que se espalhava pela Europa e à ditadura de Franco",,,,
228,RT @farizzio: Teleamazonas típico de los Egas comenzó con su guerra mediática atacar a los que apoyan a Estrada Emelec y Barcelona. Para va…,,,,
229,"#Barcelona are one of the clubs that have been offered the chance to sign #Tottenham defender Juan Foyth.

[Mundo D… https://t.co/mIfWkXMa0B",,,,
230,"RT @FoxSportsBrasil: Você viu? Barcelona pode usar três campeões do mundo para contratar Neymar

👉 https://t.co/2BtcNbAMx5 https://t.co/LAv…",,,,
231,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
232,"RT @mundodeportivo: Juan Foyth, del Tottenham, aparece como una opción para reforzar el eje defensivo si se produce alguna salida ‼️

https…",,,,
233,Mantan Presiden Joan Laporta Bertekad Pulangkan Guardiola ke Barcelona https://t.co/hQwX6DYaBi,,,,
234,RT @Ernestou: @alejwall Podés hacer una crónica real de este  Boca 1 Barcelona 9 (?) https://t.co/xWTyMc5XWe,,,,
235,"RT @labarra_mx: La carrera de Giovani Dos Santos al revés habría sido grandiosa:

➡️Debuta con el América
➡️Breve paso en la MLS
➡️Va al Vi…",,,,
236,@gorilonmaguila @FigueroaChile ¿La fuente de ese 11 ideal? Se ve muy bonito para jugar en el FIFA pero en la realid… https://t.co/0nvtUg58nb,,,,
237,FC BARCELONA Campaign Underway! #PESCM #FCB https://t.co/4dOIgPQl0i,,,,
238,"Barcelona by River Tiber
https://t.co/oITWlc8BnR",,,,
239,"RT @UrubuTT_: Há exatos 2 meses o Flamengo venceu o Barcelona de Guayaquil pela 2° rodada da fase de grupos da libertadores.

Estamos 2 mes…",,,,
240,🎧 Where Are You Going? (Live In Barcelona) by Dave Matthews &amp; Tim Reynolds on @PandoraMusic dunno yet I will find out,,,,
241,"@vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso Viva España y viva Vox.

Excelente Garriga, gracias por todo Es… https://t.co/pgDMWvbBsX",,,,
242,@DMSPDGO @juzgados_dgo @AntonioBrachoM @JorgeSalum @pilaraguilarm @LaloSerranoZ @lpineda10 @Stradapame @dionelsena… https://t.co/0b3riJlwSI,,,,
243,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
244,"@Ivan_Davila10 @AlexDomnguez9 Si después del ejemplo que pusiste te doy la palabra, y Sin duda, ese medio campo le… https://t.co/6zOrLIhcu3",,,,
245,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
246,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
247,"Barcelona-Vallcarca
5h | Temps actual

Vent: 3.2 km/h OSO
Temperatura: 15.9 °C
Humitat: 74 %
Pressió: 1007.8 hPa
Pl… https://t.co/jBV0pvpDJm",,,,
248,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
249,"RT @peter_robu: “At the time I did ‘Vicky Cristina Barcelona’, the allegations were already well known for more than 10 years, and two stat…",,,,
250,"RT @panzerbarcelona: Un día como hoy nació el Gran Semental 🇺🇸 SCAT DADDY. PADRE de PANZER BARCELONA, DON LUCAS y TAD DADDY en🇻🇪 . En USA d…",,,,
251,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
252,"Eu tô chocado q eu fui fazer teste de um processo seletivo e as perguntas eram:

Quem substituiu Neymar no Barcelon… https://t.co/NidBLFo9J6",,,,
253,"RT @davidkurten: As illegal immigration accelerates, Priti Patel talks to France with her hands tied. Nothing will change unless:
The UK ex…",,,,
254,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
255,FC BARCELONA Campaign Underway! #PESCM #FCB https://t.co/51HKRC5Pk3,,,,
256,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
257,"RT @marca: Litmanen, tras superar el coronavirus: ""Nunca me había sentido peor"" https://t.co/e2GOxZKrxF",,,,
258,"RT @CelticFC: 📊 The 3 O'Clock #CelticFC Quiz sponsored by 
@IntelligentCL ✅

Question 8: When Celtic beat Barcelona 2-1 in November 2012, w…",,,,
259,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
260,"RT @mediotiempo: ¡Está armado! ⚽️🙌

Barcelona e Inter tendrían todo listo para intercambio de lujo. 🔁

https://t.co/2ck4Z06K5O",,,,
261,"RT @STRentalz: #Barcelona: #STRz #podcast 3: @airdna's Tom Caton on the ""future normal"" in the short-term sector https://t.co/t2CKbqskfx",,,,
262,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
263,"RT @anyxwolfy: Lembro do dia em que nos falamos pela primeira vez, eu estava linda e plena cantando Barcelona na timeline e você respondeu…",,,,
264,"RT @XaviSol_: 2010-2020

🇪🇸 Campeones de la Liga de España en los últimos 10 años:

🏆FC Barcelona : 7 títulos
🏆Real Madrid: 2 títulos 
🏆Atl…",,,,
265,"RT @BotecoBDA: Range Rover de Arthur fica sem bateria e faz atleta ter que ir treinar de Ferrari e quebrar protocolo no Barcelona.

O proto…",,,,
266,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
267,"RT @CelticFC: 📊 The 3 O'Clock #CelticFC Quiz sponsored by 
@IntelligentCL ✅

Question 1: Celtic have been drawn against Barcelona seven tim…",,,,
268,RT @NanoSandoval22: @FichajeGoleador @Inter_Goleador @Inter_es @Inter @Inter_en @FCBarcelona_GO @FCBarcelona_es @SerieA_GO Barcelona arruin…,,,,
269,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
270,Rencana Juan Laporta Pulangkan Pep Guardiola Jika Terpilih Jadi Presiden Barcelona https://t.co/6kKNb08rVI --denkensoriginal--,,,,
271,Rencana Juan Laporta Pulangkan Pep Guardiola Jika Terpilih Jadi Presiden Barcelona https://t.co/Wk2Ef2ZG5k,,,,
272,RT @AfectadosBBS: El Activista Jorge Fernandez @ChalecosAmarill resiste en la Plaza Universitat de Barcelona tras el desalojo de esta noche…,,,,
273,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
274,@Taliban910 Y este boludo que no juega con el Barcelona ni en la Play quien se cree?,,,,
275,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
276,FC BARCELONA Campaign Underway! #PESCM #FCB https://t.co/RUx5jNjZTF,,,,
277,@FerTargaryen @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso Pirate para Corea del Norte a ver como te va ahí… https://t.co/ybit8OVfhS,,,,
278,". @aguerosergiokun habló con Messi mientras jugaba FIFA y lo metió en pleno streaming.

De paso, Messi le dijo ""agu… https://t.co/eBFZKAocBa",,,,
279,@_eogremio Tu reparou que o Arthur era muito mais ofensivo no Grêmio que no Barcelona?,-51.1013651,-30.0156525,-50.8111508,-29.765763
280,"RT @goal: Andres Iniesta is 36 today 🎈

Throwback to when he said goodbye to Barcelona ❤️

And he couldn't help but shed a tear 😢 https://t…",,,,
281,@anna_seitzz Caralho 9000 km me separam dessa bunda perfeita. Beijinhos de um admirador de Barcelona.,,,,
282,"RT @OdiseaD: Hoy cumple 31 años @OficialGio 

⚽️ Formado en la @FCBmasia 

🏅Ganó el Oro olímpico.

🏆Campeón del Mundo Sub-17.

🏆Campeón de…",,,,
283,FC BARCELONA Campaign Underway! #PESCM #FCB https://t.co/o9DM13jbFo,,,,
284,"RT @VarskySports: Según Mundo Deportivo, ofrecieron a Barcelona a Juan Foyth, sin lugar en Tottenham con Mou https://t.co/IBfNMcoUgV",,,,
285,@zarahblazee Barcelona,,,,
286,"Se a Catalunha se separa da Espanha e se torna um país independente, o Barcelona é removido das competições espanho… https://t.co/VP6ULEkRcE",,,,
287,El juez envía a prisión al supuesto yihadista de Barcelona que se habría radicalizado durante el estado de alarma https://t.co/rqyARDxrPq,,,,
288,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
289,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
290,RT @DonFutboI: Donó dinero en Barcelona y hoy ya se confirma la donación para su país. Messi donó $500.000 en insumos y equipamientos para…,,,,
291,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
292,"RT @InvictosSomos: Lionel Messi donó 500,000 euros a la campaña 'Juntos por la salud Argentina' de Fundación Garrahan. El dinero se destinó…",,,,
293,RT @LEOABERNAL: Y la.goleada que le metió España donde jugaba el canterano de Barcelona un tal Pep Guardiola,,,,
294,"RT @davidkurten: As illegal immigration accelerates, Priti Patel talks to France with her hands tied. Nothing will change unless:
The UK ex…",,,,
295,@kooora Barcelona ❤️💙.,,,,
296,"Joan Laporta wants Pep Guardiola return and @FCBarcelona presidency #Barca

https://t.co/rDM9kLHy40",,,,
297,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
298,RT @Urruchurtu: No entender que todo lo que ocurre a esta hora en la región es un plan orquestado y articulado para socavar las bases de la…,,,,
299,"RT @Desconcertada: En un EAP de Barcelona
de cuyo nombre no quiero acordarme
tenemos 45 PCR
para 21000 habitantes.

Lloramos ya o nos acord…",,,,
300,Lautaro Martinez to Barcelona on,,,,
301,"@Renan_ca Mas então, ele jogou pra caralho no Barcelona. O período dele de 98 até 2002 foi absurdo. Mas ele era ain… https://t.co/I2NIJkpz8f",-43.795449,-23.08302,-43.0877068,-22.7398234
302,Atualmente o Barcelona joga com as cores da bandeira catalã e já declarou diversas vezes o apoio ao movimento separ… https://t.co/42NxjvF12x,,,,
303,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
304,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
305,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
306,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
307,"2010-2020

🇪🇸 Campeones de la Liga de España en los últimos 10 años:

🏆FC Barcelona : 7 títulos
🏆Real Madrid: 2 tít… https://t.co/LishjXAlmc",,,,
308,"tava olhando aquele documentário do barcelona na netflix , o suarez é muito decisivo cara , como que ele não foi melhor do mundo ainda ?",,,,
309,"@WeAreMessi @ftblnico_ @DeJongFrenkie21 He's such a talented player, I hope he stays in Barcelona for many, many yrs",,,,
310,"Barcelona

Algo de nubes
Temperatura: 16.28 ℃
Humedad: 72 %
Viento: 2.1 m/s
Nubes: 20 %
Salida del sol: 06:35
Puest… https://t.co/9H4l5Oj3mT",,,,
311,RT @Catagar1: @EmbajadaEspCol Son más de 300 españoles. ¿Lo sabéis?. Esos vuelos permiten solamente un 30% de personas de la UE. ¿Esta es l…,,,,
312,"A perseguição ao Barcelona só diminuiu em 1973, quando o regime estava enfraquecido, porque o doido do Franco tava… https://t.co/o2YidMxsIx",,,,
313,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
314,"RT @InvictosSomos: Lionel Messi donó 500,000 euros a la campaña 'Juntos por la salud Argentina' de Fundación Garrahan. El dinero se destinó…",,,,
315,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
316,"@rafaoliveiracrf Acho que tá muito abaixo do Ronaldo, por exemplo 

O que me pega é que depois de 2002 ele não jogo… https://t.co/NkLdPelrU8",-43.795449,-23.08302,-43.0877068,-22.7398234
317,"1. Madrid, España 🇪🇸 
2. CABA, Argentina 🇦🇷 
3. Barcelona, España 🇪🇸
4. Bercianos de Aliste, España 🇪🇸
5. Orlando,… https://t.co/FUvezhoo7Y",,,,
318,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
319,"Lembro do dia em que nos falamos pela primeira vez, eu estava linda e plena cantando Barcelona na timeline e você r… https://t.co/jnOXEJBs03",,,,
320,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
321,"RT @ZuluAnnalet: La Sagrada Familia - Barcelona, Spain https://t.co/jU9e16iJQE",,,,
322,"@CosenzaGiuliano Pelo contrário, é subvalorizada. Jogou muito no barcelona. Destruiu em 2 copas do mundo. E na déca… https://t.co/9UFZcyu9nr",,,,
323,@gumbzll barcelona buceta,,,,
324,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
325,"RT @carlesenric: Lo lamentable es que se den cuenta ahora y que tanto barcelones sea ignorante ""Frente unitario en Barcelona contra Colau p…",,,,
326,essa segunda do barcelona 😍 https://t.co/o0wYb3KE5m,,,,
327,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
328,"Hay una serie del Barcelona en Netflix. No tiene ni dos minutos que empezó y dice el narrador: ""Aqui es donde se es… https://t.co/EA6O5jYqXV",,,,
329,"@Edgar_Rodrigz14 @AlexDomnguez9 Ese es mi punto, pero igual Iniesta es un super crack.

Yo creo que sin él, tanto e… https://t.co/6tdWSvctCZ",,,,
330,@JesusParranda Puede que sea en Barcelona o Madrid. En 4 años te confirmo el lugar,,,,
331,RT @amaaiaromero: @Sara_Mpion tampoco habremos pasado de fase pero barcelona es mucho mejor que madrid https://t.co/gIswpb2DV0,,,,
332,chaeyoung loved the flat peaches in barcelona and really liked walking around in paris seeing a lot of vintage stuff in the flea markets,,,,
333,"RT @CuriosidadesEU: Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
334,RT @garoto_luca: torço pro Santos e Barcelona,,,,
335,"RT @Esp_Interativo: Há alguns anos, no Barcelona... 🔥 https://t.co/mtglqAH8Si",,,,
336,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
337,"RT @FoxSportsBrasil: Você viu? Barcelona pode usar três campeões do mundo para contratar Neymar

👉 https://t.co/2BtcNbAMx5 https://t.co/LAv…",,,,
338,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
339,"RT @BarcaWorldwide: Joan Laporta: 🗣️- ""As a Barcelona fan, I want to win the trophies through the stadium and not the offices"" https://t.co…",,,,
340,"Resumen J2 Alicante

Jornada floja, peor y con momentos menos recordados que la de Barcelona, aunque si dejo moment… https://t.co/jt5u3e8PpD",,,,
341,"RT @goal: Guardiola &amp; Messi together again? 🤗

“I would very much like Guardiola to come back, but now he is at City &amp; it is a decision tha…",,,,
342,"RT @jastaluimelia: #luimeliasinmiedo 

luisita: quizá podríamos ir tu y yo a barcelona...

el fandom: https://t.co/N2mGocqNKj",,,,
343,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
344,RT @JulioC_Minchala: Recordando la historia del fútbol ecuatoriano formación del BARCELONA 1994 https://t.co/K4pnHDVPjc,,,,
345,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
346,"@nikbessa É porque ele não jogou merda nenhuma de 2002 pra frente, né?

Não foi sem motivo. Ele teve momento brilha… https://t.co/Wl76W0hd02",-43.795449,-23.08302,-43.0877068,-22.7398234
347,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
348,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
349,@SaqueLargoWin Todo lo que es y fue Messi en el Barcelona se lo debe a ese genio de INIESTA  o acaso el Barcelona Y… https://t.co/qVV3Eo1zDw,,,,
350,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
351,FC BARCELONA Campaign Underway! #PESCM #FCB https://t.co/LZudAzMjUq,,,,
352,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
353,"@FIFATRADEBRASIL @WesPogba7 @MilionarioDoUT Pior Q eu fiquei tipo ""ah não bait do ocampos cara"", mas aí apareceu Barcelona e eu tremi",,,,
354,@kingarturo23 Este es el arthur de verda no el otro q es acuenta ni menos los otros ..rompela en el barcelona y da cara✊🤘,,,,
355,"Litmanen, tras superar el coronavirus: ""Nunca me había sentido peor"" https://t.co/e2GOxZKrxF",,,,
356,"RT @carlesenric: Lo lamentable es que se den cuenta ahora y que tanto barcelones sea ignorante ""Frente unitario en Barcelona contra Colau p…",,,,
357,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
358,"Você viu? Barcelona pode usar três campeões do mundo para contratar Neymar

👉 https://t.co/2BtcNbAMx5 https://t.co/LAv2Ohju2g",,,,
359,"#8028
Carrer de Passada 70, 08380 Malgrat de Mar, Barcelona.
mapa: https://t.co/fPUngdZygB https://t.co/AqStiAvXut",,,,
360,"El Barcelona tendrá ‘tiempo extra’ para arrebatarle al brasileño Neymar al PSG, en Francia el período de transaccio… https://t.co/srCwySfYXd",,,,
361,"Eran felices y no lo sabían 😿

Quieren a Pep de regreso en Barcelona, acá los detalles 👉 https://t.co/KLt4JwDJB4 https://t.co/nS8TBFCbnE",,,,
362,isso porque Barcelona era a “cidade-chave” de resistência ao regime de Franco,,,,
363,"RT @Crhedrys: Exposing how Iniesta and Xavi are frauds but they gt covered by Barcelona tomorrow. 

Can’t wait for this dub to drop. https:…",,,,
364,"RT @VarskySports: Según Mundo Deportivo, ofrecieron a Barcelona a Juan Foyth, sin lugar en Tottenham con Mou https://t.co/IBfNMcoUgV",,,,
365,"fui na Espanha dominar Barcelona e Madrid, sacudi a Irlanda e pubs de London com uma cerveja e um bom bagulho o bonde vai longe",,,,
366,RT @Minageboy: @Rake_Barcelona @monicanaranjo @94mn_fans @ipt34 Amó Minage es pura magia y Arte del bueno.,,,,
367,"RT @Bolanet: Tentang Barcelona, Klub Besar yang Kesulitan Jual Pemain

https://t.co/XKQkZ0hmuY",,,,
368,"RT @Esp_Interativo: Há alguns anos, no Barcelona... 🔥 https://t.co/mtglqAH8Si",,,,
369,Y pensar que iba a comprar lo de Barcelona el viernes 🙃🙃,,,,
370,"Ambos os times eram símbolos de valores defendidos pela sociedade: o RM franquista, que estava ao lado do ditador e… https://t.co/eHYutVfu64",,,,
371,RT @ZachLowy: SPORT: Inter and Barcelona are close to an agreement for the transfer of Lautaro Martínez. Price is €60 million + Arturo Vida…,,,,
372,RT @vicenteguallart: Se habla de la ciudad de 15 minutos de Paris y se contrapone al de las super manzanas de Barcelona. Quizás no se ha ex…,,,,
373,"@elDantRiOs @iMiaSanMia @totcosta Bayern, Inter, Manchester City and PSG are interested in Barcelona RIGHT-BACK Nél… https://t.co/4h5VMONePP",,,,
374,Barcelona and Wolves https://t.co/8WIJdQoROB,,,,
375,"RT @MessiFC10i: • Messi has 42 Goals and Assists in 32 Games this season
• Contributed to 49% of Goals Barcelona scored this season
• Contr…",,,,
376,RT @eSPAINews: 🚨 Frustrado un ataque terrorista en #Barcelona: la Guardia Civil detiene a un magrebí sospechoso de planear un atentado de c…,,,,
377,"RT @InvictosSomos: Lionel Messi donó 500,000 euros a la campaña 'Juntos por la salud Argentina' de Fundación Garrahan. El dinero se destinó…",,,,
378,desde que mis papis lo ponían en el carro diciéndonos que lo escuchaban cada vez que caminaban por Barcelona o la g… https://t.co/5vzvNXObtE,,,,
379,Promoção FC BARCELONA em andamento! #PESCM #FCB https://t.co/hiQEmKwh4m https://t.co/2m6xiRqGbI,,,,
380,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
381,"RT @Esp_Interativo: Há alguns anos, no Barcelona... 🔥 https://t.co/mtglqAH8Si",,,,
382,"Kevin Prince Boateng vs Barcelona na UCL.

https://t.co/W3hpPUPc05",,,,
383,"Se busca: Peluquero/a en Sant Celoni (Barcelona) ⚙️ #empleo #trabajo #vacante
➡️ ¡Accede ahora para ver ofertas de… https://t.co/0APWI2Pg82",,,,
384,"RT @architectming: @berkie1 This is a very similar concept to the Superblocks in Barcelona.
https://t.co/5k5HtpBUGF",,,,
385,"RT @cr7raprhymes: Leo Messi's Barcelona Loyalty summed up in 4 pics

😭😭😭 https://t.co/D3zsM3BoFo",,,,
386,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
387,RT @ZuritaCarpio: @ChairoMexicano @AndreaChavezTre @EstefaniaVeloz @abrahamendieta @gibranrr Ni el Barcelona o Real Madrid tienen esa media…,,,,
388,RT @BarcaUniversal: ❗Joan Laporta has confirmed that he will run for Barcelona presidency in the 2021 elections. https://t.co/xgdrxaFlDB,,,,
389,"Tentang Barcelona, Klub Besar yang Kesulitan Jual Pemain
baca selengkapnya : https://t.co/mPaRMjeAsf https://t.co/W4GnNQrzqR",,,,
390,RT @farizzio: Teleamazonas típico de los Egas comenzó con su guerra mediática atacar a los que apoyan a Estrada Emelec y Barcelona. Para va…,,,,
391,"RT @MessiFC10i: • Messi has 42 Goals and Assists in 32 Games this season
• Contributed to 49% of Goals Barcelona scored this season
• Contr…",,,,
392,@MartinSouto y cómo te va a quedar  la cola si foyth va al Barcelona...,,,,
393,"El atleta cubano Roberto Hernández, campeón mundial de Barcelona 1989, ya está de alta médica, luego de superar un… https://t.co/C6Vcufi7a4",,,,
394,RT @peremora71: Vaig fer aquest foto fa exactament 25 anys a una manifestació a Cannes contra la política Europea a la guerra dels Balcans.…,,,,
395,superblocks is a great invention! well done Barcelona!,,,,
